,Keyword,Likes,Comments,Views
308,tutorial,18184,601,622551
309,tutorial,47823,2897,3335591
310,tutorial,93094,1136,26355125
311,tutorial,12502,1115,203851
312,tutorial,121477,2653,3218250
313,tutorial,41409,1025,1253037
314,tutorial,29065,2375,1592794
315,tutorial,97091,2989,2417577
316,tutorial,869059,12196,21485819
317,tutorial,10595,826,345071
318,tutorial,190593,5568,11034311
319,tutorial,57526,1115,1204024
320,tutorial,407460,40969,11745320
321,tutorial,186142,5329,5646817
322,tutorial,375997,2031,7009241
323,tutorial,702681,15608,7892369
324,tutorial,8851,287,525488
325,finance,113,32,5110
326,finance,954,81,13991
327,finance,40,14,2783
328,finance,765,319,100366
329,finance,59,23,7093
330,finance,13,21,1485
331,finance,346,65,29751
332,finance,16,3,83121
333,finance,1834,500,39296
334,finance,44,6,2597
335,finance,66,13,3882
336,finance,36,40,6709
337,finance,124,72,7816
338,finance,53635,1650,6224649
339,finance,29,2,2285
340,finance,213398,13619,9450554
341,finance,17269,903,1366364
342,finance,68,40,7325
343,finance,96,45,12456
344,finance,14,3,1195
345,finance,490,185,32926
346,finance,4590,1035,255706
347,finance,69,2,3534
348,finance,39868,1068,2797148
349,finance,83,32,8862
350,finance,51,36,4384
351,finance,19621,7087,890196
352,finance,37925,3545,1213867
353,finance,24181,4776,608005
354,finance,29610,1473,637152
355,finance,1692,268,93564
356,finance,2236,595,118523
357,finance,4894,201,196484
358,finance,57,13,2548
359,finance,319,180,29180
360,finance,19352,597,1344472
361,finance,404,30,22593
362,finance,40534,1851,1257676
363,finance,1289,1852,189066
364,crypto,2713,115,46082
365,crypto,34468,4428,390348
366,crypto,5595,641,77109
367,crypto,1720,272,20600
368,crypto,230,95,2201
369,crypto,27738,2355,474368
370,crypto,12829,802,192740
371,crypto,3405,171,57692
372,crypto,1908,199,23786
373,crypto,3400,170,45779
374,crypto,212,429,6443
375,crypto,1700,60,21012
376,crypto,90,138,7050
377,crypto,765,463,9585
378,crypto,2645,102,35571
379,crypto,827,568,8502
380,crypto,626,49,7989
381,crypto,2015,239,18216
382,crypto,3179,184,43235
383,crypto,431,154,4247
384,crypto,1992,216,25115
385,crypto,1450,238,15689
386,crypto,1462,83,25316
387,crypto,1324,249,30328
388,crypto,2719,168,48051
389,crypto,182663,6456,6366422
390,crypto,476,280,6160
391,crypto,66,105,1616
392,crypto,105,51,1599
393,crypto,1493,69,23035
394,crypto,3638,314,39409
395,crypto,408,45,7771
396,crypto,257,27,2742
397,crypto,3091,200,52909
398,crypto,3916,158,30871
399,crypto,357,101,10554
400,crypto,92,55,2546
401,crypto,2258,125,28047
402,crypto,2539,314,36410
403,crypto,95151,3859,11805668
404,crypto,4303,360,46495
405,crypto,2379,177,31510
406,crypto,757,35,9099
407,crypto,310,114,4723
408,crypto,629,202,8867
409,crypto,705,627,7516
410,crypto,1021,634,11448
411,crypto,1606,183,27258
412,crypto,418,71,5034
413,crypto,1987,181,25648
414,cubes,2072,156,79265
415,cubes,111085,18963,10963984
416,cubes,32280,2947,2570601
417,cubes,511551,25520,49429306
418,cubes,15064,1245,1669884
419,cubes,23205,1028,235294
420,cubes,9760,879,380649
421,cubes,2025653,8188,58590655
422,cubes,233724,8895,10608521
423,cubes,339759,32717,29905105
